"","date","bank","ACTIVO.INTANGIBLE","Activo.material","ACTIVO.MATERIAL","Activos.afectos.a.obligaciones.de.terceros","Activos.financieros.disponibles.para.la.venta","ACTIVOS.FINANCIEROS.DISPONIBLES.PARA.LA.VENTA","ACTIVOS.FISCALES","Activos.no.corrientes.en.venta","ACTIVOS.NO.CORRIENTES.EN.VENTA","Afecto.a.la.Obra.social","AJUSTES.A.ACTIVOS.FINANCIEROS.POR.MACRO.COBERTURAS","AJUSTES.A.PASIVOS.FINANCIEROS.POR.MACRO.COBERTURAS","AJUSTES.POR.VALORACIîN","CAJA.Y.DEPîSITOS.EN.BANCOS.CENTRALES","CAPITAL.CON.NATURALEZA.DE.PASIVO.FINANCIERO","Capital.o.fondo.de.dotaci.n","CARTERA.DE.INVERSIîN.A.VENCIMIENTO","CARTERA.DE.NEGOCIACIîN","Coberturas.de.inversiones.netas.en.negocios.en.el.extranjero","Coberturas.de.los.flujos.de.efectivo","COMPROMISOS.CONTINGENTES","CONTRATOS.DE.SEGUROS.VINCULADOS.A.PENSIONES","Corrientes","Cr.dito.a.la.clientela","Cuotas.participativas","Cuotas.participativas.y.fondos.asociados..Cajas.de.Ahorros.","D.bitos.representados.por.valores.negociables","De.instrumentos.financieros.compuestos","De.uso.propio","Dep.sitos.de.bancos.centrales","Dep.sitos.de.entidades.de.cr.dito","Dep.sitos.de.la.clientela","Dep.sitos.en.entidades.de.cr.dito","DERIVADOS.DE.COBERTURA","Derivados.de.negociaci.n","Diferencias.de.cambio","Diferidos","Disponibles.por.terceros","Emitido","Entidades.asociadas","Entidades.del.grupo","Entidades.multigrupo","Fondo.de.comercio","Fondo.de.estabilizaci.n","Fondo.de.reservas.de.cuotapart.cipes","Fondo.Obra.social","Fondos.para.pensiones.y.obligaciones.similares","FONDOS.PROPIOS","Garant.as.financieras","Instrumentos.de.capital","INVERSIONES.CREDITICIAS","Inversiones.inmobiliarias","Menos..Dividendos.y.retribuciones","Menos..Valores.propios","Operac.del.mercado.monet.trav.s.de.entid.de.contrapartida","Otras.provisiones","Otro.activo.intangible","OTROS.ACTIVOS","Otros.activos.cedidos.en.arrendamiento.operativo","OTROS.ACTIVOS.FINANC.A.VALOR.RAZONABLE.CON.CAMBIOS.EN.P.RY.GAN","Otros.activos.financieros","Otros.compromisos","Otros.instrumentos.de.capital","OTROS.PASIVOS","OTROS.PASIVOS.FINANC.A.VALOR.RAZONABLE.CON.CAMBIOS.EN.P.RY.GAN","Otros.pasivos.financieros","Otros.riesgos.contingentes","PARTICIPACIONES","PASIVO","PASIVO.Y.PATRIMONIO.NETO","PASIVOS.ASOCIADOS.CON.ACTIVOS.NO.CORRIENTES.EN.VENTA","Pasivos.finan.a.valor.razonable.con.cambios.en.el.patrim.neto","PASIVOS.FINANC.A.VALOR.RAZONABLE.CON.CAMBIOS.EN.PATRIM.NETO","PASIVOS.FINANCIEROS.A.COSTE.AMORTIZADO","PASIVOS.FISCALES","Pasivos.subordinados","PATRIMONIO.NETO","Pendiente.de.desembolso.no.exigido....","PERIODIFICACIONES","Posiciones.cortas.de.valores","Prima.de.emisi.n","PRO.MEMORIA","Pro.memoria..Adquirido.en.arrendamiento.financiero","Pro.memoria..Prestados.o.en.garant.a","PROVISIONES","Provisiones.para.impuestos","Provisiones.para.riesgos.y.compromisos.contingentes","Remanente","Reservas","Reservas..p.rdidas..acumuladas","Resto","Resto.de.activos","Resto.de.pasivos","Resultado.del.ejercicio","RIESGOS.CONTINGENTES","TOTAL.ACTIVO","TOTAL.PASIVO","TOTAL.PATRIMONIO.NETO","TOTAL.PATRIMONIO.NETO.Y.PASIVO","Valores.representativos.de.deuda","Afecto.a.la.Obra.Socias..s.lo.Cajas.de.Ahorro.y.Cooperativas.de.Cr.dito.","CAPITAL.REEMBOLSABLE.A.LA.VISTA..solo.Cajas.de.Ahorros.y.Cooperativas.de.Cr.dito.","Capital.Fondo.de.dotaci.n..a.","Cedido.en.arrendamiento.operativo","Cuotas.participativas.y.fondos.asociados..solo.Cajas.de.Ahorros.","Escriturado","FONDO.DE.LA.OBRA.SOCIAL..solo.Cajas.de.Ahorros.y.Cooperativas.de.Cr.dito.","Fondo.para.pensiones.y.obligaciones.similares","Inmovilizado.material","Menos..Capital.no.exigido","OTROS.ACTIVOS.FINANCIEROS.A.VALOR.RAZONABLE.CON.CAMBIOS.EN.P.RDIDAS.Y.GANANCIAS","OTROS.PASIVOS.FINANCIEROS.A.VALOR.RAZONABLE.CON.CAMBIOS.EN.P.RIDDAS.Y.GANANCIAS","Provisiones.para.impuestos.y.otras.contingencias.legales","RESTO.DE.ACTIVOS","Resto.de.ajustes.por.valoraci.n","Resto.de.instrumentos.de.capital","RESTO.DE.PASIVOS","TOTAL.PASIVO.Y.PATRIMONIO.NETO","Afecto.a.la.Obra.Socias..sÃ.lo.Cajas.de.Ahorro.y.Cooperativas.de.CrÃ.dito.","AJUSTES.POR.VALORACIÃ.N","CAJA.Y.DEPÃ.SITOS.EN.BANCOS.CENTRALES","CAPITAL.REEMBOLSABLE.A.LA.VISTA..solo.Cajas.de.Ahorros.y.Cooperativas.de.CrÃ.dito.","Capital.Fondo.de.dotaciÃ.n..a.","CARTERA.DE.INVERSIÃ.N.A.VENCIMIENTO","CARTERA.DE.NEGOCIACIÃ.N","CrÃ.dito.a.la.clientela","DÃ.bitos.representados.por.valores.negociables","DepÃ.sitos.de.bancos.centrales","DepÃ.sitos.de.entidades.de.crÃ.dito","DepÃ.sitos.de.la.clientela","DepÃ.sitos.en.entidades.de.crÃ.dito","Derivados.de.negociaciÃ.n","FONDO.DE.LA.OBRA.SOCIAL..solo.Cajas.de.Ahorros.y.Cooperativas.de.CrÃ.dito.","OTROS.ACTIVOS.FINANCIEROS.A.VALOR.RAZONABLE.CON.CAMBIOS.EN.PÃ.RDIDAS.Y.GANANCIAS","OTROS.PASIVOS.FINANCIEROS.A.VALOR.RAZONABLE.CON.CAMBIOS.EN.PÃ.RIDDAS.Y.GANANCIAS","Prima.de.emisiÃ.n","Pro.memoria..Prestados.o.en.garantÃ.a","Resto.de.ajustes.por.valoraciÃ.n","Var.2","data","One","total"
"1",2005-01-01,"BANCO BILBAO VIZCAYA ARGENTARIA",38019,50078,2029041,0,954114,23809435,3326132,0,50078,0,0,0,959042,2694942,0,1661518,3282062,46731038,0,679,50531251,2097376,142689,130442556,0,0,27514996,0,2003515,14307340,42022939,99400706,17302192,4857238,22003194,4249,4031699,46972223,1661518,795308,11353572,2620,0,0,0,0,4780408,10778010,35844016,0,148767775,25526,-1017256,-7955,623019,1007214,38019,715948,0,0,1023027,3559028,8239065,53072,0,6018903,1365142,12151500,NA,NA,0,0,0,201603441,848256,11715538,NA,0,1103399,1565840,6658390,NA,27,33129397,6114890,0,327268,1605595,3483313,1877718,53072,0,0,0,37209158,236005347,224268295,11737052,236005347,38732374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-01,1,76
"2",2005-01-01,"BANCO SANTANDER CENTRAL HISPANO ",2883,42425,1593575,3,111780,18750017,3079900,0,42425,0,0,0,111780,2263190,0,3127148,0,19268884,0,0,48075104,3002004,13190,95726396,0,0,19409029,0,1583476,3369501,30218030,92467708,35679709,2221851,8849694,0,3249439,36232805,3127148,1298115,32785256,14676,0,0,0,0,7414096,28714864,41843784,0,136511019,10099,-1310662,0,525068,493819,2883,478398,0,0,4579846,11842299,3484126,469628,0,6760236,3075,34098047,NA,NA,0,0,0,167571965,182729,15347461,NA,0,781293,2634225,20370128,NA,442475,23036482,8167079,0,259164,1837424,6470149,4632725,527729,0,0,0,41846862,213655767,184829121,28826644,213655767,23108957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-01,1,76
"3",2005-01-01,"BANCO ESPAOL DE CRDITO ",29186,22542,625460,0,22864,8005287,631014,0,22542,0,0,0,61361,777979,0,1027609,4824978,4938758,0,38497,12605619,1653644,1273,37720713,0,0,9363404,0,613846,0,18936058,32402464,13681775,0,2980771,0,678688,8721245,1027609,9657,1171095,0,0,0,0,0,2406158,2895996,8089423,0,52167663,11614,0,-690,168658,328649,29186,67886,0,0,765175,3884374,795211,40819,0,2548373,15366,1180752,NA,NA,0,0,0,65615302,48947,2196345,NA,0,1430279,151057,0,NA,0,8070104,2738603,0,3796,432098,1869077,1436979,40819,0,0,0,8104789,73878228,70920871,2957357,73878228,9017006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-01,1,76
"4",2005-01-01,"BANCO SABADELL",2959,24956,561186,0,58938,1986908,733031,0,24956,0,0,0,58827,590997,0,153002,0,165533,0,0,17826881,241182,57760,33179524,0,0,7539225,0,560135,0,4113225,26122833,5608186,284943,164574,-111,782110,15988688,153002,53659,710005,25493,0,0,0,0,299565,2934701,9332210,0,39220557,1051,-73441,0,0,164200,2959,21556,0,0,432847,1838193,93397,81822,0,1510536,212,789157,NA,NA,0,0,0,40599064,106839,1313245,NA,0,174440,0,1373270,NA,0,3761090,546629,2830,80034,282965,1481863,1198898,81829,0,0,0,9332422,44562644,41569115,2993528,44562644,1894477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-01,1,76
"5",2005-01-01,"BANCO POPULAR ESPAOL ",10361,27739,354752,479,2199,1983307,592574,0,27739,0,0,0,2219,706743,0,113693,0,2706427,0,0,8038183,151740,63674,29928666,0,0,3478080,0,353219,0,10990753,28251858,9901495,234028,945291,20,712488,7100186,113693,3211,1209138,10952,0,0,0,0,194937,2007406,14559673,0,41992336,1533,0,-2281,1952071,5548,10361,25909,0,0,346027,937997,1574715,105712,0,1272322,188815,1223301,NA,NA,0,0,0,45636587,183588,1507651,NA,0,182037,106125,428720,NA,0,3968974,300040,19318,80237,188198,1467274,1279076,105712,0,0,0,14748967,49213403,47203778,2009625,49213403,2063603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-01,1,76
"6",2005-01-01,"BANKINTER ",334,3453,298427,0,59534,5256375,324046,0,3453,0,2303,0,59574,216062,0,116070,460281,4018832,0,0,4697966,0,129001,20589966,0,0,5032388,11120,298277,300130,5422828,16204142,2277546,117179,327050,40,343638,4401264,116070,0,91827,37074,0,0,0,0,0,1138413,2911146,0,23071770,0,-60214,-29444,306999,131825,334,5191,150,0,204258,296702,161922,38886,0,778064,35674,128901,NA,NA,0,0,0,28770023,148593,725472,NA,0,49550,1584854,285847,NA,0,7184036,131971,0,146,162433,815034,652601,38886,0,0,0,2946820,32120082,30922095,1197987,32120082,7212501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-01,1,76
"7",2005-01-01,"BANCO PASTOR ",4584,4467,276269,0,504,213392,189007,0,4467,0,0,0,504,207680,0,65421,42343,25964,0,0,3011204,52993,23404,13453638,0,0,3231364,0,268008,0,781720,9642896,714500,8671,25140,0,219216,2542861,65421,109106,127061,19210,0,0,0,0,121318,869897,1240675,0,14266760,8261,-13520,0,0,21128,4584,21256,0,0,98622,468343,46184,8635,0,210960,0,255377,NA,NA,0,0,0,14455826,53613,588886,NA,0,32891,0,213750,NA,0,525680,158523,16077,0,52193,604246,552053,8635,0,0,0,1240675,15574326,14703925,870401,15574326,168032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-01,1,76
"8",2005-01-01,"BANESTO BANCO DE EMISIONES ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30050,0,510447,0,0,0,0,0,6,0,0,9833305,0,0,0,0,0,10952396,0,510447,0,0,0,30050,0,0,0,0,0,0,0,0,97988,4,0,10952402,0,0,0,0,0,0,0,0,0,0,0,0,44,0,2053,0,0,NA,NA,0,0,0,10853835,0,1018477,NA,0,564,0,65407,NA,0,0,0,0,0,470,2531,2061,44,0,0,0,4,11207640,11109652,97988,11207640,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-01,1,76
"9",2005-01-01,"BARCLAYS BANK ",8992,2715,203961,241,11720,1851386,353849,0,2715,0,0,0,11720,263578,0,157841,0,45675,0,0,2418460,44148,8525,12953155,0,0,88070,0,203572,521880,4748785,10793960,2132861,15195,17774,0,392488,2318545,157841,1074,50079,0,0,0,0,0,91238,822905,1307764,0,15225178,0,0,0,0,17705,8992,7061,389,0,139162,99915,16847,10790,0,286149,7718,51153,NA,NA,0,0,0,16926398,47164,487554,NA,0,112447,0,197547,NA,0,2759485,118561,0,9618,24920,467517,442597,10790,0,0,0,1315723,18061438,17226813,834625,18061438,1862440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-01,1,76
"10",2005-01-01,"BANCO DE CRDITO LOCAL DE ESPAA",0,215,27081,0,12603,3203953,22100,0,215,0,0,0,12603,120623,0,151043,0,91487,0,0,619121,7371,0,8487278,0,0,5575646,0,11874,2839850,1503851,2085329,759043,703677,91487,0,28886,619121,151043,668,925,0,0,0,0,0,30956,308099,814958,0,9246328,15207,0,0,0,1535,0,265,0,0,7,0,0,4095,0,30549,0,1593,NA,NA,0,0,0,12035225,6786,0,NA,0,11740,0,10662,NA,0,183450,32611,0,120,61812,146394,84582,4095,0,0,0,814958,12917926,12597224,320702,12917926,3203953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005-01-01,1,76
